episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-38.4264825734498,-50.0,-49.5341348274449,50.0,80,4,4000,False,80,1,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-09-42,1597738182,9.372035026550293,9.372035026550293,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,9.372035026550293,0,1,225fc_00000,0,"[-50.0, -50.0, -38.4264825734498, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -48.09457344850099, -50.0, -50.0, -50.0, -49.982353111671436, -50.0, -50.0, -50.0, -50.0, -50.0, -48.85805164122992, -47.741689479162424, -49.99015438361975, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -48.68904608800436, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -40.98411748532146, -50.0, -46.51792652961331, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.40445915677931, -50.0, -50.0, -50.0, -50.0, -47.523380888952644, -50.0, -50.0, -50.0, -50.0, -50.0, -46.518551409286935, -50.0, -50.0, -50.0, -50.0]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",1.757640402752917,0.5732628253551868,0.7095470295085773,7818.849,511.584,33.812,118301.034,1445.487,2767.233,1.608,4000,4000,40.62857142857143,68.22857142857141,0.20000000298023224,4.999999873689376e-05,260.77097,-0.010298288,260.77927,0.0002667654,0.009925806,4.2386074,0.0
-39.222991974712876,-50.38127528097268,-49.43879351790245,50.0,80,4,8000,False,160,2,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-09-45,1597738185,2.772041082382202,12.144076108932495,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,12.144076108932495,0,2,225fc_00000,0,"[-50.0, -45.31898779090828, -48.77117123470696, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.02842100804059, -50.0, -49.92190007533266, -50.0, -50.0, -47.37030739955202, -50.0, -50.0, -49.53054509189163, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -45.92114581722368, -50.0, -50.0, -50.0, -49.538313557159086, -49.479708933951294, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -46.84716328746976, -39.222991974712876, -50.0, -46.65345526405578, -50.38127528097268, -50.0, -50.0, -50.0, -50.0, -49.86461857659977, -50.0, -46.3267596622283, -50.0, -49.5836614118043, -49.35691622067484, -46.1821914442602, -43.80642029767694, -50.0, -50.0, -50.222967175987456, -50.0, -49.20385065338476, -48.81395861034341, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -48.086229566288544, -50.0, -50.0, -50.0, -50.0, -50.0, -49.40445915677931, -50.0, -50.0, -50.0, -50.0, -47.523380888952644, -50.0, -50.0, -50.0, -50.0, -50.0, -46.518551409286935, -50.0, -50.0, -50.0, -50.0]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",1.2742965517568847,0.470453129916512,0.6480470578423672,4632.66,863.435,17.534,228126.429,1381.404,2895.604,1.685,8000,8000,27.725,67.97500000000001,0.20000000298023224,4.999999873689376e-05,139.84314,-0.014426245,139.85585,0.00011075504,0.008607145,4.2490396,0.0
-46.6488406345258,-50.222967175987456,-49.836161978966594,50.0,80,4,12000,False,240,3,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-09-47,1597738187,2.557291030883789,14.701367139816284,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,14.701367139816284,0,3,225fc_00000,0,"[-49.49413325785164, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.40397345281532, -50.0, -50.0, -50.0, -50.0, -49.89226749487922, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.1232461776885, -50.0, -50.0, -47.655754095495546, -50.0, -50.0, -50.0, -50.0, -50.0, -46.693562860016215, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.085442958014575, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.943504898974474, -50.0, -50.0, -47.807956343547524, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.54050971684648, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -46.6488406345258, -50.0, -50.0, -50.222967175987456, -50.0, -49.20385065338476, -48.81395861034341, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -48.086229566288544, -50.0]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.9062533924005023,0.378385331519017,0.6470966335252163,3465.752,1154.151,12.135,329632.903,1393.291,2870.9,1.821,12000,12000,45.4,68.06666666666666,0.20000000298023224,4.999999873689376e-05,127.76251,-0.010073778,127.77053,0.0001334125,0.010286099,4.187284,0.0
-36.51872173179465,-50.99972693040622,-49.40025776311356,50.0,80,4,16000,False,320,4,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-09-51,1597738191,3.33081316947937,18.032180309295654,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,18.032180309295654,0,4,225fc_00000,0,"[-50.0, -49.723716463626914, -50.0, -50.0, -50.0, -49.34407564106778, -50.0, -50.0, -45.65306173579715, -50.0, -36.51872173179465, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -47.357660345272485, -50.0, -50.0, -50.0, -50.0, -46.210954065660964, -47.71620646037295, -45.58321271631584, -49.81752327332144, -50.0, -50.0, -50.0, -50.0, -45.802756439182176, -50.0, -50.0, -50.0, -49.37627769029287, -50.0, -48.95240134455068, -50.0, -50.0, -50.0, -50.0, -50.0, -50.04215712770806, -50.0, -50.0, -49.985957729204394, -46.18658192539242, -50.0, -50.0, -50.0, -50.0, -49.80587974448753, -50.0, -48.065133547642944, -50.0, -50.0, -47.104224723985766, -50.0, -48.10580778652349, -50.0, -49.078804301411594, -50.99972693040622, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.82901294892136, -50.0, -50.0, -50.0, -50.0, -50.0, -48.941020624019956, -50.0, -50.0, -50.0, -45.82759431947579, -50.0, -50.0, -47.807956343547524, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.54050971684648, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -46.6488406345258]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.8071023282230246,0.3629951108529197,0.6590095278744319,3054.652,1309.478,9.449,423324.99,1420.039,2816.824,1.852,16000,16000,41.519999999999996,67.91999999999999,0.20000000298023224,4.999999873689376e-05,104.84138,-0.011558259,104.85046,0.18901302,0.012331277,4.0973544,0.0
-41.723250489352885,-50.99972693040622,-49.479257498570085,50.0,80,4,20000,False,400,5,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-09-54,1597738194,2.957131862640381,20.989312171936035,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,20.989312171936035,0,5,225fc_00000,0,"[-50.0, -50.0, -50.0, -50.0, -46.60416780113581, -50.0, -50.0, -48.23989336923578, -50.0, -50.0, -49.1764788797609, -50.0, -49.05898489686389, -50.44304394222764, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.97878073815263, -50.0, -49.95256649656737, -46.02689333213747, -50.0, -50.0, -50.0, -50.0, -50.0, -49.05242071846481, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -41.723250489352885, -50.0, -50.0, -50.0, -45.9043736792847, -47.71505284782628, -50.0, -50.0, -49.79253772286916, -50.0, -50.0, -50.0, -44.35987203692045, -50.0, -48.32235165754056, -50.0, -50.0, -50.0, -50.0, -48.53694533883592, -50.0, -46.17063899390996, -47.479203673884406, -47.55270667351141, -50.0, -50.0, -47.15942744429142, -50.0, -50.0, -50.0, -50.0, -49.078804301411594, -50.99972693040622, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.82901294892136, -50.0, -50.0, -50.0, -50.0, -50.0, -48.941020624019956, -50.0, -50.0, -50.0, -45.82759431947579]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.7098132311982358,0.3412256845988202,0.6771200028076955,2696.2,1483.569,7.849,509645.255,1473.085,2715.389,1.938,20000,20000,46.0,67.65,0.20000000298023224,4.999999873689376e-05,80.30238,-0.013313912,80.313286,0.36417884,0.01207469,4.1258745,0.0
-42.02849954408864,-51.49291457144981,-49.63531824927743,50.0,80,4,24000,False,480,6,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-09-57,1597738197,2.961254119873047,23.950566291809082,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,23.950566291809082,0,6,225fc_00000,0,"[-50.0, -50.0, -50.0, -49.382935794308814, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.954531836537086, -50.0, -50.0, -50.15175072248616, -50.0, -42.02849954408864, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.037396331840995, -50.01183704497238, -49.89573424967174, -48.88041850797392, -48.95004876839793, -50.0, -50.08239373880236, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.03825033137665, -48.994819257294225, -49.85994190627354, -50.0, -50.0, -50.0, -50.0, -49.163827364454804, -50.0, -50.0, -50.0, -50.968708902124234, -50.0, -47.919927140294156, -50.0, -50.0, -50.088834319239666, -51.49291457144981, -50.0, -50.0, -50.0, -46.1927947331229, -49.85511404413871, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -44.35987203692045, -50.0, -48.32235165754056, -50.0, -50.0, -50.0, -50.0, -48.53694533883592, -50.0, -46.17063899390996, -47.479203673884406, -47.55270667351141, -50.0, -50.0, -47.15942744429142, -50.0, -50.0, -50.0]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.6285664067956942,0.3201231805499606,0.6883912018918178,2450.678,1632.202,6.785,589536.141,1515.504,2639.387,2.02,24000,24000,45.839999999999996,67.76,0.20000000298023224,4.999999873689376e-05,67.94687,-0.0121296365,67.95661,0.4672568,0.011921934,4.086232,0.0
-42.24643974366101,-51.49291457144981,-49.597931239320154,50.0,80,4,28000,False,560,7,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-10-00,1597738200,3.6907598972320557,27.641326189041138,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,27.641326189041138,0,7,225fc_00000,0,"[-49.9646311972112, -48.50322404185293, -49.529756990744666, -50.0, -49.551811885847584, -50.0, -50.0, -49.99357888928542, -50.0, -50.0, -50.0, -49.98265100101221, -50.01453328943287, -50.0, -50.0, -50.0, -50.0, -48.38207589422094, -48.40259097513445, -50.0, -50.0, -48.575712207566795, -50.0, -50.0, -49.98792482484898, -46.40381527332963, -44.23472967724078, -46.41613701164193, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.34292798412946, -50.0, -48.53944317644958, -50.0, -50.0, -50.0, -49.18236846652649, -49.88688476870883, -49.55643579115608, -50.0, -50.0, -50.0, -50.0, -49.91339321727144, -49.98855791977935, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -51.13862190508728, -50.0, -42.24643974366101, -50.0, -50.0, -49.21170100792458, -49.988215989444136, -50.33200932772978, -50.0, -50.0, -50.0, -50.02195547061074, -50.0, -50.0, -50.0, -49.94740797562259, -50.0, -44.291888671456476, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.743405646717264, -50.968708902124234, -50.0, -47.919927140294156, -50.0, -50.0, -50.088834319239666, -51.49291457144981, -50.0, -50.0, -50.0, -46.1927947331229, -49.85511404413871, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.6302923288850081,0.32839245358796754,0.7032838225958497,2390.796,1673.083,6.036,662674.566,1534.588,2606.562,2.047,28000,28000,42.8,67.79999999999998,0.20000000298023224,4.999999873689376e-05,60.91123,-0.009957506,60.91893,0.5189513,0.011297715,4.098595,0.0
-41.145422623484116,-50.65361360877514,-49.561076962696454,50.0,80,4,32000,False,640,8,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-10-03,1597738203,3.104170083999634,30.74549627304077,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,30.74549627304077,0,8,225fc_00000,0,"[-50.0, -50.0, -49.72200431290997, -47.265470322548985, -47.38255620940082, -49.95087659102435, -49.933058042788616, -48.333284320045145, -50.0, -50.0, -50.073818666324954, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.37717261412807, -50.361409764621975, -50.0, -48.663942976483476, -50.0, -50.0, -49.22187021351766, -50.0, -50.0, -49.54363370906526, -41.145422623484116, -50.000571300590714, -50.0, -50.0, -48.95248355368896, -43.492966682765285, -50.0, -50.0, -50.0, -50.0, -50.0, -47.09051935501457, -48.44356668104663, -47.37381504145941, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -48.087972987530065, -50.65361360877514, -50.0, -50.0, -50.0, -50.0, -49.129396074063216, -50.0, -50.0, -50.0, -49.867914276290115, -49.87592897325502, -50.0, -50.0, -49.00785760548875, -49.23298212494449, -49.387003548884024, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.21170100792458, -49.988215989444136, -50.33200932772978, -50.0, -50.0, -50.0, -50.02195547061074, -50.0, -50.0, -50.0, -49.94740797562259, -50.0, -44.291888671456476, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.743405646717264]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.5972682773683866,0.3225776628600127,0.7155887907874999,2257.989,1771.488,5.481,729844.795,1563.569,2558.249,2.054,32000,32000,40.150000000000006,67.7,0.20000000298023224,4.999999873689376e-05,49.01365,-0.015632575,49.026966,0.61198777,0.011585207,4.119691,0.0
-38.43905494082713,-51.04445409009534,-49.41824588557775,50.0,80,4,36000,False,720,9,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-10-07,1597738207,3.0802080631256104,33.82570433616638,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,33.82570433616638,0,9,225fc_00000,0,"[-44.59664413428977, -49.574408133606006, -50.0, -50.0, -50.09159211586975, -50.0, -50.0049858460602, -50.0, -48.893416296693346, -51.04445409009534, -46.304432994919495, -50.0, -50.0, -50.0, -50.0, -50.0, -48.641783576927814, -50.0, -49.945447160360864, -49.89040522920436, -50.0, -50.0, -50.0, -38.43905494082713, -50.0, -50.151892654616994, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -49.85098661692504, -49.52243369209671, -50.0, -49.937421034928065, -50.0, -50.15578086326915, -39.63904184979031, -50.0, -50.0, -50.0, -45.901101414675416, -50.0, -49.49187974954208, -48.100035357901206, -50.04172054087064, -47.08264256424873, -50.0, -50.0, -50.0, -50.0, -50.0, -42.49601928977504, -47.10034475642206, -50.0, -50.0, -50.0, -50.0, -47.106356585571376, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.216773394554785, -49.925282967687764, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.050407426727354, -50.0, -50.0, -49.00785760548875, -49.23298212494449, -49.387003548884024, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.559341247323571,0.312923844409165,0.7260354894118538,2156.343,1854.993,5.043,793144.814,1581.774,2528.807,2.063,36000,36000,38.3,67.6,0.20000000298023224,4.999999873689376e-05,48.01249,-0.012468187,48.022713,0.62000257,0.011269065,3.9872966,0.0
-41.348118726713096,-53.2031073629008,-49.574772032580306,50.0,80,4,40000,False,800,10,4208caa4903043748cbb03cae2d43e8a,2020-08-18_17-10-10,1597738210,3.0725910663604736,36.898295402526855,12032,jeon-wonseog-ui-MacBook-Pro.local,165.132.139.122,36.898295402526855,0,10,225fc_00000,0,"[-43.691576935078714, -53.2031073629008, -50.0, -50.0, -50.0, -48.20584826305989, -49.87815131707493, -50.0, -47.10478160797255, -49.842597953519814, -49.25020486496309, -48.11935257960059, -50.0, -50.0, -47.225675692204135, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0481270083585, -50.30350445630768, -50.0, -50.0, -48.92961447591516, -49.04199512692999, -50.104530976886814, -50.0, -50.0, -50.0, -49.97415934296542, -50.0, -50.0, -48.70769318614801, -50.0, -50.0, -50.0, -49.889648131471006, -50.0, -50.0, -50.0, -50.0, -47.34038811352718, -50.0, -50.58073253187578, -49.935541695698994, -41.348118726713096, -50.0, -50.0, -50.02939064540714, -50.0, -50.0, -49.42197334964214, -50.0, -50.0, -49.49309984521751, -44.970430355093065, -50.0, -50.0, -49.0874373988216, -50.0, -50.0, -49.36163978762416, -50.0, -50.0, -50.0, -50.0, -50.0, -45.089061152511846, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -47.106356585571376, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.216773394554785, -49.925282967687764, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.0, -50.050407426727354, -50.0]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.5289460591215024,0.30491471634234624,0.7332022394818608,2072.413,1930.118,4.708,849668.584,1598.217,2502.789,2.07,40000,40000,37.925,67.6,0.20000000298023224,4.999999873689376e-05,35.99519,-0.014559212,36.00707,0.7165625,0.013391507,3.9625108,0.0
